CryoSleep,Age,Transported,Cabin_Num,Cabin_Side,GroupSize,IsAlone,HasSpent,IsChild,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,RoomService_log,FoodCourt_log,ShoppingMall_log,Spa_log,VRDeck_log,TotalSpent_log
1,62.0,1,2.0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,15.0,0,6.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,5.420534999272286,0.0,6.906754778648554,0.0,7.1098794630722715
0,34.0,0,0.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,3.1354942159291497,8.711772645605695,0.0,7.271703706887368,5.796057750765372,8.969796305981806
0,43.0,0,8.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,7.177782416195197
0,32.0,0,4.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,7.507690077819904
0,47.0,1,9.0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,7.956827122090111
0,2.0,1,9.0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,20.0,1,9.0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,7.467942332285852,6.898714534329988,0.0,7.916078096302786
1,28.0,1,1.0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,23.0,0,1.0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,7.90100705199242
0,15.0,0,8.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,6.8690144506657065
0,20.0,0,10.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6.318968113746434,5.278114659230518,0.0,7.865955413933502,0.0,8.118505067587098
1,30.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,17.0,1,2.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,45.0,0,3.0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0.0,5.10594547390058,3.828641396489095,7.828834527588089,6.752270376141742,8.182000136293405
1,55.0,0,3.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,4.0,1,3.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,21.0,1,3.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,21.0,0,10.0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,6.878326468291325,0.0,5.198497031265826,0.0,4.174387269895637,7.102499355774649
1,19.0,1,10.0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,35.0,0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,6.673297967767654,0.0,0.0,0.0,0.0,6.673297967767654
0,56.0,0,2.0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0.0,4.727387818712341,0.0,7.22983877815125,4.852030263919617,7.389563953677635
0,27.0,0,6.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1.6094379124341003,0.0,1.0986122886681096,8.451907724717607,0.0,8.453187861440325
0,25.0,1,11.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,7.569927655242652,0.0,0.6931471805599453,7.570443252057374
0,2.0,1,1.0,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,38.0,1,1.0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,27.0,1,1.0,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,5.634789603169249,6.406879986069314,8.12415060330663,5.659482215759621,1.3862943611198906,8.422442854870427
1,36.0,0,7.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,22.0,0,12.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,3.828641396489095,7.00033446027523,5.003946305945459,7.228388451573604,0.6931471805599453,7.889084407035514
0,62.0,0,13.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,6.385194398997726,0.0,2.8903717578961645,3.258096538021482,6.453624998892692
1,15.0,1,14.0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,33.0,1,3.0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,62.0,0,6.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.6931471805599453,5.0369526024136295,5.288267030694535,0.0,6.133398042996649,6.699500340161678
1,0.0,1,10.0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,1,10.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6931471805599453,5.556828061699537,6.102558594613569,0.0,0.0,6.559615237493242
0,21.0,0,15.0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,7.5740450053721995,3.6375861597263857,0.0,0.0,3.2188758248682006,7.60489448081162
0,27.0,0,4.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,6.677083461247136,0.0,1.0986122886681096,5.537334267018537,0.0,6.955592608396297
0,42.0,1,16.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,6.78897174299217,0.0,2.302585092994046,1.9459101490553132,0.0,6.805722553416985
0,19.0,0,13.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,5.25227342804663,0.0,1.791759469228055,0.6931471805599453,6.588926477533519,6.827629234502852
0,17.0,0,14.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2.833213344056216,7.680637427560936,0.0,0.0,3.970291913552122,7.711548979629146
0,14.0,0,17.0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0.0,0.6931471805599453,0.0,0.0,6.96979066990159,6.970730078143525
0,37.0,0,3.0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,3.8501476017100584,4.430816798843313,6.6052979209482015,0.0,2.5649493574615367,6.779921907472252
0,42.0,1,3.0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0.6931471805599453,9.035748861244139,0.0,0.0,6.2285110035911835,9.094368195723762
0,27.0,1,18.0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,4.997212273764115,0.0,6.926577033222725,0.0,0.0,7.061334366910438
0,28.0,1,15.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,2.70805020110221,0.0,7.16703787691222,0.0,0.0,7.177782416195197
0,38.0,0,4.0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0.0,8.67265729404031,0.0,5.7745515455444085,9.175231194862615,9.668777364850452
1,13.0,0,13.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,42.0,0,16.0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,8.91018077801329,0.0,0.0,0.0,0.0,8.91018077801329
1,2.0,1,16.0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,1,16.0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,24.0,1,14.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.535241271013659,0.0,0.0,0.0,2.8903717578961645,6.559615237493242
1,40.0,1,5.0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,43.0,0,17.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,5.356586274672012,0.0,0.0,6.459904454377535,6.2422232654551655,7.217443431696533
1,45.0,1,5.0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,35.0,1,15.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,26.0,1,16.0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,27.0,0,20.0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0.6931471805599453,6.548219102762372,3.4657359027997265,5.241747015059643,0.0,6.822197390620491
0,19.0,0,9.0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,6.508769136971682,0.6931471805599453,3.5553480614894135,6.559615237493242
1,0.0,1,9.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,1,9.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,54.0,0,2.0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0.0,7.097548850614793,0.0,1.3862943611198906,6.45833828334479,7.522400231387125
0,26.0,0,11.0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,6.75343791859778,1.791759469228055,3.4965075614664802,0.0,6.795705775173515
0,26.0,1,11.0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,7.941651252930556,6.86484777797086,0.0,4.477336814478207,8.257385655730436
0,23.0,0,19.0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,5.7430031878094825,6.059123195581797,6.267200548541362,3.6375861597263857,0.0,7.171656822768514
0,2.0,1,12.0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,31.0,1,933.5,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,18.0,0,23.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,6.7226297948554485,4.5217885770490405,6.826545223556594
0,24.0,1,24.0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.8903717578961645,2.8903717578961645
1,9.0,1,18.0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,6.0,0,18.0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,27.0,0,21.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,6.3473892096560105,1.0986122886681096,4.882801922586371,6.556778356158042
0,21.0,0,2.0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,7.463936604468925,1.791759469228055,2.8903717578961645,0.0,0.0,7.476472381163905
1,23.0,0,19.0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,31.0,0,19.0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,6.333279628139691,0.0,5.7899601708972535,0.0,0.0,6.790097235513905
0,0.0,1,19.0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,32.0,0,933.5,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,6.018593214496234,1.9459101490553132,8.276394704863307,6.639875833826536,8.53895468319775
0,40.0,0,5.0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0.0,5.805134968916488,0.0,0.0,7.431299675155903,7.610357618312838
0,42.0,1,5.0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,7.700747794511798,9.343033913701648,0.0,7.533158807455563,6.100318952020064,9.676649685633647
1,28.0,1,5.0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,1,6.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,48.0,1,1.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.0,7.839131648274333,4.477336814478207,2.8903717578961645,2.639057329615259,7.884199933676039
0,64.0,1,23.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,6.690842277418564,0.0,0.0,6.690842277418564
0,27.0,0,20.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,4.418840607796598,5.062595033026967,6.063785208687608,5.476463551931511,0.6931471805599453,6.811244378601294
0,26.0,1,24.0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,33.0,1,4.0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0.6931471805599453,7.707062655370473,0.0,2.5649493574615367,6.003887067106539,7.878912912297132
0,39.0,0,0.0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,7.76004068088038,0.0,4.189654742026425,8.839131752546109,9.138629524422182
1,13.0,1,0.0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,24.0,1,25.0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,29.0,0,21.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,6.551080335043404,4.31748811353631,6.651571873589727
0,18.0,0,27.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4.02535169073515,6.393590753950631,3.912023005428146,0.0,0.6931471805599453,6.555356891810665
1,67.0,1,27.0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,35.0,0,7.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,6.553933404025811,0.0,5.6937321388027,0.0,3.258096538021482,6.930494765951626
0,61.0,0,3.0,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,7.763871287820222,5.814130531825066,2.302585092994046,5.75890177387728,1.0986122886681096,8.011355109161286
0,45.0,0,8.0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,7.651595573857601,1.9459101490553132,0.0,0.0,0.0,7.6544432264701125
1,22.0,1,22.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,19.0,1,29.0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,36.0,0,5.0,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,7.915348169263078,0.0,0.0,0.0,0.0,7.915348169263078
0,19.0,1,17.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,2.70805020110221,6.594413459749778,0.0,0.0,6.61338421837956
0,47.0,0,23.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,4.584967478670572,6.037870919922137,4.844187086458591,3.258096538021482,4.02535169073515,6.582025138892826
1,13.0,1,18.0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,34.0,0,5.0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0,3.1354942159291497,0.0,6.336825731146441,5.337538079701318,6.677083461247136
1,35.0,1,6.0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,24.0,1,19.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,26.0,0,29.0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,6.089044875446846,0.0,0.0,0.0,6.137727054086234,6.805722553416985
0,31.0,0,30.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,4.584967478670572,0.0,0.0,4.584967478670572
0,20.0,1,31.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,6.042632833682381,5.351858133476067,0.0,0.0,6.447305862541213
0,56.0,0,25.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,50.0,1,26.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,42.0,0,31.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,6.9782137426306985,0.0,2.3978952727983707,0.0,4.343805421853684,7.055312843339752
1,27.0,1,27.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,38.0,0,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,41.0,0,32.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6.410174881966167,6.410174881966167
0,22.0,0,22.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,8.323608442343572,0.0,0.0,0.0,4.127134385045092,8.338305731356565
1,26.0,1,8.0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,17.0,1,8.0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,57.0,1,28.0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3.9318256327243257,7.4318919168078,0.0,0.0,4.912654885736052,7.535830462798367
1,17.0,0,28.0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,35.0,1,37.0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,13.0,1,35.0,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,27.0,0,35.0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,7.2196420401307355,0.0,3.8918202981106265,3.1354942159291497,4.927253685157205,7.360739903058278
1,31.0,0,23.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,24.0,0,10.0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,5.402677381872279,6.342121418721152,6.670766320845874
1,19.0,1,30.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,32.0,1,24.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,58.0,1,11.0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0.0,6.893656354602635,0.0,1.791759469228055,0.0,6.898714534329988
0,21.0,0,38.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5.662960480135946,0.0,2.833213344056216,4.7535901911063645,5.170483995038151,6.386879319362645
0,38.0,0,2.0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0.0,9.24445190160495,0.6931471805599453,9.613870275449836,7.655390644826152,10.219356126832537
0,38.0,0,6.0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,8.13593277200489,0.0,5.087596335232384,3.367295829986474,4.787491742782046,8.222285073872717
0,19.0,1,26.0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0.6931471805599453,5.393627546352361,6.513230110912307,1.0986122886681096,2.4849066497880004,6.810142450115136
0,0.0,0,26.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,1,26.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,20.0,0,27.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.3862943611198906,5.703782474656201,4.532599493153256,5.978885764901122
1,24.0,1,3.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,37.0,1,36.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2.8903717578961645,4.990432586778736,6.056784013228625,0.0,5.4510384535657,6.71174039505618
0,25.0,0,28.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,4.143134726391533,0.0,0.0,0.0,6.863803391452954,6.926577033222725
1,56.0,1,31.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,49.0,0,8.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4.442651256490317,1.3862943611198906,5.996452088619021,5.313205979041787,4.59511985013459,6.670766320845874
1,11.0,0,32.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1,29.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,0,29.0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,39.0,0,29.0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,2.3978952727983707,6.80128303447162,0.0,6.812345094177479
1,2.0,1,41.0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,23.0,0,41.0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,2.1972245773362196,6.9782137426306985,0.0,6.985641817639208
0,0.0,1,41.0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,39.0,1,42.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,6.008813185442595,0.0,6.7661917146603505,0.0,0.0,7.149916836132109
0,25.0,0,5.0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,6.959398512133975,0.0,6.579251212010101,0.0,2.0794415416798357,7.483806687665835
0,36.0,0,5.0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0.0,6.880384082186005,0.0,6.679599185844383,6.3561076606958915,7.759187438507795
0,52.0,1,30.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,18.0,0,33.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,1,31.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,35.0,1,3.0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
